Ndex,Pokémon,Type,Secondary Typing,Special Form,Generation
#0001,Bulbasaur,Grass,Poison,,1
#0002,Ivysaur,Grass,Poison,,1
#0003,Venusaur,Grass,Poison,,1
#0004,Charmander,Fire,,,1
#0005,Charmeleon,Fire,,,1
#0006,Charizard,Fire,Flying,,1
#0007,Squirtle,Water,,,1
#0008,Wartortle,Water,,,1
#0009,Blastoise,Water,,,1
#0010,Caterpie,Bug,,,1
#0011,Metapod,Bug,,,1
#0012,Butterfree,Bug,Flying,,1
#0013,Weedle,Bug,Poison,,1
#0014,Kakuna,Bug,Poison,,1
#0015,Beedrill,Bug,Poison,,1
#0016,Pidgey,Normal,Flying,,1
#0017,Pidgeotto,Normal,Flying,,1
#0018,Pidgeot,Normal,Flying,,1
#0019,Rattata,Normal,,,1
#0019,Rattata,Dark,Normal,Alolan Form,1
#0020,Raticate,Normal,,,1
#0020,Raticate,Dark,Normal,Alolan Form,1
#0021,Spearow,Normal,Flying,,1
#0022,Fearow,Normal,Flying,,1
#0023,Ekans,Poison,,,1
#0024,Arbok,Poison,,,1
#0025,Pikachu,Electric,,,1
#0026,Raichu,Electric,,,1
#0026,Raichu,Electric,Psychic,Alolan Form,1
#0027,Sandshrew,Ground,,,1
#0027,Sandshrew,Ice,Steel,Alolan Form,1
#0028,Sandslash,Ground,,,1
#0028,Sandslash,Ice,Steel,Alolan Form,1
#0029,Nidoran?,Poison,,,1
#0030,Nidorina,Poison,,,1
#0031,Nidoqueen,Poison,Ground,,1
#0032,Nidoran?,Poison,,,1
#0033,Nidorino,Poison,,,1
#0034,Nidoking,Poison,Ground,,1
#0035,Clefairy,Fairy,,,1
#0036,Clefable,Fairy,,,1
#0037,Vulpix,Fire,,,1
#0037,Vulpix,Ice,,Alolan Form,1
#0038,Ninetales,Fire,,,1
#0038,Ninetales,Ice,Fairy,Alolan Form,1
#0039,Jigglypuff,Normal,Fairy,,1
#0040,Wigglytuff,Normal,Fairy,,1
#0041,Zubat,Poison,Flying,,1
#0042,Golbat,Poison,Flying,,1
#0043,Oddish,Grass,Poison,,1
#0044,Gloom,Grass,Poison,,1
#0045,Vileplume,Grass,Poison,,1
#0046,Paras,Bug,Grass,,1
#0047,Parasect,Bug,Grass,,1
#0048,Venonat,Bug,Poison,,1
#0049,Venomoth,Bug,Poison,,1
#0050,Diglett,Ground,,,1
#0050,Diglett,Ground,Steel,Alolan Form,1
#0051,Dugtrio,Ground,,,1
#0051,Dugtrio,Ground,Steel,Alolan Form,1
#0052,Meowth,Normal,,,1
#0052,Meowth,Dark,,Alolan Form,1
#0052,Meowth,Steel,,Galarian Form,1
#0053,Persian,Normal,,,1
#0053,Persian,Dark,,Alolan Form,1
#0054,Psyduck,Water,,,1
#0055,Golduck,Water,,,1
#0056,Mankey,Fighting,,,1
#0057,Primeape,Fighting,,,1
#0058,Growlithe,Fire,,,1
#0058,Growlithe,Fire,Rock,Hisuian Form,1
#0059,Arcanine,Fire,,,1
#0059,Arcanine,Fire,Rock,Hisuian Form,1
#0060,Poliwag,Water,,,1
#0061,Poliwhirl,Water,,,1
#0062,Poliwrath,Water,Fighting,,1
#0063,Abra,Psychic,,,1
#0064,Kadabra,Psychic,,,1
#0065,Alakazam,Psychic,,,1
#0066,Machop,Fighting,,,1
#0067,Machoke,Fighting,,,1
#0068,Machamp,Fighting,,,1
#0069,Bellsprout,Grass,Poison,,1
#0070,Weepinbell,Grass,Poison,,1
#0071,Victreebel,Grass,Poison,,1
#0072,Tentacool,Water,Poison,,1
#0073,Tentacruel,Water,Poison,,1
#0074,Geodude,Rock,Ground,,1
#0074,Geodude,Rock,Electric,Alolan Form,1
#0075,Graveler,Rock,Ground,,1
#0075,Graveler,Rock,Electric,Alolan Form,1
#0076,Golem,Rock,Ground,,1
#0076,Golem,Rock,Electric,Alolan Form,1
#0077,Ponyta,Fire,,,1
#0077,Ponyta,Psychic,,Galarian Form,1
#0078,Rapidash,Fire,,,1
#0078,Rapidash,Psychic,Fairy,Galarian Form,1
#0079,Slowpoke,Water,Psychic,,1
#0079,Slowpoke,Psychic,,Galarian Form,1
#0080,Slowbro,Water,Psychic,,1
#0080,Slowbro,Poison,Psychic,Galarian Form,1
#0081,Magnemite,Electric,Steel,,1
#0082,Magneton,Electric,Steel,,1
#0083,Farfetch'd,Normal,Flying,,1
#0083,Farfetch'd,Fighting,,Galarian Form,1
#0084,Doduo,Normal,Flying,,1
#0085,Dodrio,Normal,Flying,,1
#0086,Seel,Water,,,1
#0087,Dewgong,Water,Ice,,1
#0088,Grimer,Poison,,,1
#0088,Grimer,Poison,Dark,Alolan Form,1
#0089,Muk,Poison,,,1
#0089,Muk,Poison,Dark,Alolan Form,1
#0090,Shellder,Water,,,1
#0091,Cloyster,Water,Ice,,1
#0092,Gastly,Ghost,Poison,,1
#0093,Haunter,Ghost,Poison,,1
#0094,Gengar,Ghost,Poison,,1
#0095,Onix,Rock,Ground,,1
#0096,Drowzee,Psychic,,,1
#0097,Hypno,Psychic,,,1
#0098,Krabby,Water,,,1
#0099,Kingler,Water,,,1
#0100,Voltorb,Electric,,,1
#0100,Voltorb,Electric,Grass,Hisuian Form,1
#0101,Electrode,Electric,,,1
#0101,Electrode,Electric,Grass,Hisuian Form,1
#0102,Exeggcute,Grass,Psychic,,1
#0103,Exeggutor,Grass,Psychic,,1
#0103,Exeggutor,Grass,Dragon,Alolan Form,1
#0104,Cubone,Ground,,,1
#0105,Marowak,Ground,,,1
#0105,Marowak,Fire,Ghost,Alolan Form,1
#0106,Hitmonlee,Fighting,,,1
#0107,Hitmonchan,Fighting,,,1
#0108,Lickitung,Normal,,,1
#0109,Koffing,Poison,,,1
#0110,Weezing,Poison,,,1
#0110,Weezing,Poison,Fairy,Galarian Form,1
#0111,Rhyhorn,Ground,Rock,,1
#0112,Rhydon,Ground,Rock,,1
#0113,Chansey,Normal,,,1
#0114,Tangela,Grass,,,1
#0115,Kangaskhan,Normal,,,1
#0116,Horsea,Water,,,1
#0117,Seadra,Water,,,1
#0118,Goldeen,Water,,,1
#0119,Seaking,Water,,,1
#0120,Staryu,Water,,,1
#0121,Starmie,Water,Psychic,,1
#0122,Mr. Mime,Psychic,Fairy,,1
#0122,Mr. Mime,Ice,Psychic,Galarian Form,1
#0123,Scyther,Bug,Flying,,1
#0124,Jynx,Ice,Psychic,,1
#0125,Electabuzz,Electric,,,1
#0126,Magmar,Fire,,,1
#0127,Pinsir,Bug,,,1
#0128,Tauros,Normal,,,1
#0128,Tauros,Fighting,,Paldean Form (Combat Breed),1
#0128,Tauros,Fighting,Fire,Paldean Form (Blaze Breed),1
#0128,Tauros,Fighting,Water,Paldean Form (Aqua Breed),1
#0129,Magikarp,Water,,,1
#0130,Gyarados,Water,Flying,,1
#0131,Lapras,Water,Ice,,1
#0132,Ditto,Normal,,,1
#0133,Eevee,Normal,,,1
#0134,Vaporeon,Water,,,1
#0135,Jolteon,Electric,,,1
#0136,Flareon,Fire,,,1
#0137,Porygon,Normal,,,1
#0138,Omanyte,Rock,Water,,1
#0139,Omastar,Rock,Water,,1
#0140,Kabuto,Rock,Water,,1
#0141,Kabutops,Rock,Water,,1
#0142,Aerodactyl,Rock,Flying,,1
#0143,Snorlax,Normal,,,1
#0144,Articuno,Ice,Flying,,1
#0144,Articuno,Psychic,Flying,Galarian Form,1
#0145,Zapdos,Electric,Flying,,1
#0145,Zapdos,Fighting,Flying,Galarian Form,1
#0146,Moltres,Fire,Flying,,1
#0146,Moltres,Dark,Flying,Galarian Form,1
#0147,Dratini,Dragon,,,1
#0148,Dragonair,Dragon,,,1
#0149,Dragonite,Dragon,Flying,,1
#0150,Mewtwo,Psychic,,,1
#0151,Mew,Psychic,,,1
#0152,Chikorita,Grass,,,2
#0153,Bayleef,Grass,,,2
#0154,Meganium,Grass,,,2
#0155,Cyndaquil,Fire,,,2
#0156,Quilava,Fire,,,2
#0157,Typhlosion,Fire,,,2
#0157,Typhlosion,Fire,Ghost,Hisuian Form,2
#0158,Totodile,Water,,,2
#0159,Croconaw,Water,,,2
#0160,Feraligatr,Water,,,2
#0161,Sentret,Normal,,,2
#0162,Furret,Normal,,,2
#0163,Hoothoot,Normal,Flying,,2
#0164,Noctowl,Normal,Flying,,2
#0165,Ledyba,Bug,Flying,,2
#0166,Ledian,Bug,Flying,,2
#0167,Spinarak,Bug,Poison,,2
#0168,Ariados,Bug,Poison,,2
#0169,Crobat,Poison,Flying,,2
#0170,Chinchou,Water,Electric,,2
#0171,Lanturn,Water,Electric,,2
#0172,Pichu,Electric,,,2
#0173,Cleffa,Fairy,,,2
#0174,Igglybuff,Normal,Fairy,,2
#0175,Togepi,Fairy,,,2
#0176,Togetic,Fairy,Flying,,2
#0177,Natu,Psychic,Flying,,2
#0178,Xatu,Psychic,Flying,,2
#0179,Mareep,Electric,,,2
#0180,Flaaffy,Electric,,,2
#0181,Ampharos,Electric,,,2
#0182,Bellossom,Grass,,,2
#0183,Marill,Water,Fairy,,2
#0184,Azumarill,Water,Fairy,,2
#0185,Sudowoodo,Rock,,,2
#0186,Politoed,Water,,,2
#0187,Hoppip,Grass,Flying,,2
#0188,Skiploom,Grass,Flying,,2
#0189,Jumpluff,Grass,Flying,,2
#0190,Aipom,Normal,,,2
#0191,Sunkern,Grass,,,2
#0192,Sunflora,Grass,,,2
#0193,Yanma,Bug,Flying,,2
#0194,Wooper,Water,Ground,,2
#0194,Wooper,Poison,Ground,Paldean Form,2
#0195,Quagsire,Water,Ground,,2
#0196,Espeon,Psychic,,,2
#0197,Umbreon,Dark,,,2
#0198,Murkrow,Dark,Flying,,2
#0199,Slowking,Water,Psychic,,2
#0199,Slowking,Poison,Psychic,Galarian Form,2
#0200,Misdreavus,Ghost,,,2
#0201,Unown,Psychic,,,2
